split_a,path_a,split_b,path_b,distance,same_class
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Acne\acne-closed-comedo-003.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Acne\acne-open-comedo-14.jpeg,0,1
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Acne\acne-closed-comedo-14.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\neurofibromas-13.jpeg,0,0
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Acne\acne-cystic-13.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Acne\acne-pustular-3.jpeg,0,1
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Acne\acne-cystic-18.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Acne\acne-pustular-6.jpeg,0,1
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Acne\acne-cystic-20.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Acne\acne-pustular-7.jpeg,0,1
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Actinic_Keratosis\235__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDM2XQ.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\image15.jpeg,0,1
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Actinic_Keratosis\248__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\images162.jpeg,0,1
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Actinic_Keratosis\311__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\images84.jpeg,0,1
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Actinic_Keratosis\420__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\images224.jpeg,0,1
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Actinic_Keratosis\PAT_1547_1876_839.png,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\PAT_1282_978_328.png,0,1
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Benign_tumors\07GiantComedone.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Acne\acne-open-comedo-12.jpeg,0,0
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Benign_tumors\calcifying-epithelioma-4.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\SkinCancer\basal-cell-carcinoma-lesion-55.jpeg,0,0
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Benign_tumors\cylindroma-1.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\PAT_180_756_831.png,0,0
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Benign_tumors\dermatofibroma-68.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\SkinCancer\basal-cell-carcinoma-lesion-64.jpeg,0,0
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Eczema\03EczemaAreolae021223.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-areola-10.jpeg,0,1
